word,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
coffee,0.01,0.01,0.01,0.01,0.01,0.02,0.03,0.03,0.04,0.08,0.13,0.18,0.2,0.25,0.32,0.43,0.49,0.52,0.56,0.57,0.75,0.66,0.7
coke,,,,,,,,,0.01,0.04,0.05,0.11,0.13,0.11,0.17,0.14,0.2,0.33,0.24,0.25,0.48,0.26,0.34
cold,0.0,0.01,0.01,0.01,0.02,0.03,0.04,0.07,0.12,0.14,0.24,0.36,0.44,0.48,0.54,0.62,0.69,0.77,0.79,0.75,0.92,0.84,0.86
comb,0.0,0.01,0.0,0.02,0.01,0.02,0.03,0.05,0.045,0.08,0.08,0.2,0.22,0.27,0.29,0.32,0.4,0.46,0.52,0.53,0.73,0.54,0.62
cook,,,,,,,,,0.03,0.05,0.06,0.16,0.15,0.22,0.3,0.34,0.42,0.54,0.54,0.57,0.74,0.66,0.71
cookie,0.02,0.02,0.03,0.04,0.05,0.08,0.11,0.21,0.315,0.3,0.395,0.56,0.64,0.6,0.69,0.74,0.82,0.87,0.86,0.89,0.96,0.91,0.95
corn,,,,,,,,,0.05,0.08,0.12,0.21,0.24,0.25,0.34,0.44,0.48,0.56,0.59,0.64,0.81,0.69,0.74
couch,0.01,0.01,0.0,0.02,0.01,0.01,0.02,0.05,0.025,0.065,0.11499999999999999,0.18,0.2,0.26,0.34,0.42,0.49,0.57,0.59,0.65,0.82,0.7,0.72
could,,,,,,,,,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.05,0.08,0.11,0.14,0.22,0.23,0.27
country,,,,,,,,,0.0,0.01,0.01,0.01,0.01,0.01,0.03,0.03,0.04,0.06,0.05,0.09,0.14,0.11,0.17
cover,,,,,,,,,0.01,0.02,0.03,0.05,0.04,0.1,0.1,0.16,0.22,0.29,0.31,0.37,0.57,0.5,0.52
cow,0.01,0.01,0.02,0.03,0.03,0.06,0.05,0.15,0.195,0.245,0.32,0.5,0.54,0.53,0.58,0.68,0.75,0.8,0.8,0.85,0.93,0.87,0.87
cowboy,,,,,,,,,0.0,0.02,0.01,0.02,0.02,0.04,0.04,0.08,0.11,0.17,0.17,0.19,0.37,0.3,0.36
cracker,0.01,0.02,0.02,0.03,0.04,0.07,0.09,0.23,0.29000000000000004,0.30500000000000005,0.37,0.5,0.53,0.53,0.6,0.67,0.72,0.78,0.76,0.78,0.92,0.81,0.82
